$part_date,#user_id,金币余额,绿币余额,广告场景,ad_name,翻倍奖励原因,累计游戏次数,奖励金额,资源类型
2023/10/18,1.16442E+18,5540000,2.58,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.58,绿币
2023/10/15,1.16314E+18,540000,1.47,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.37,绿币
2023/10/14,1.15401E+18,14602000,1.47,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,0,0.1,绿币
2023/10/19,1.16479E+18,540000,1.05,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.95,绿币
2023/10/17,1.16405E+18,640000,0.96,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.96,绿币
2023/10/18,1.16454E+18,740000,2.43,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,2.43,绿币
2023/10/13,1.16244E+18,640000,0.7,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,0.7,绿币
2023/10/16,1.16347E+18,540000,2.02,bingo额外wild技能广告,ad_video_wild,,2,1.52,绿币
2023/10/18,1.16444E+18,540000,2.31,看广告开启活动场次-海星之旅,ad_video_starfish,,2,2.01,绿币
2023/10/18,1.16441E+18,860000,3.29,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,5,2.6,绿币
2023/10/19,1.16481E+18,540000,2.08,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.98,绿币
2023/10/19,1.1648E+18,393000,3.36,通用翻倍奖励,ad_video_popup_bonus,礼物-在线奖励,4,4.34,绿币
2023/10/14,1.16305E+18,640000,1.44,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.44,绿币
2023/10/19,1.1648E+18,1220000,3.56,看广告开启活动场次-海星之旅,ad_video_starfish,,4,2.83,绿币
2023/10/19,1.14438E+18,98000,5.06,bingo额外wild技能广告,ad_video_wild,,1,0.63,绿币
2023/10/19,1.16484E+18,540000,1.66,通用翻倍奖励,ad_video_popup_bonus,标记海星,2,1.56,绿币
2023/10/14,1.16073E+18,2603079,18.79,7日签到双倍奖励广告,ad_video_checkin_double,,0,66844,金币
2023/10/18,1.16449E+18,540000,0.1,bingo额外wild技能广告,ad_video_wild,,1,20000,金币
2023/10/13,1.15467E+18,566000,10.57,bingo场次中广告获取道具的弹窗,ad_video_popup_powerup,,1,-1.99,绿币
