用户id,金币余额,绿币余额,广告场景,通用广告奖励类型,累计游戏场次,变化量,资源类型
1.16473E+18,940000,2.09,ad_video_starfish,,2,1.7,绿币
1.16473E+18,640000,0.49,ad_video_popup_bonus,标记海星,2,0.49,绿币
1.1649E+18,1040000,1.41,ad_video_wild,,2,1.41,绿币
1.16446E+18,180000,0.61,ad_video_popup_bonus,标记海星,3,0.51,绿币
1.1649E+18,540000,1.04,ad_video_popup_bonus,标记海星,2,0.94,绿币
1.16342E+18,1440000,3.13,ad_video_popup_bonus,礼物-在线奖励,0,1.14,绿币
1.16453E+18,540000,0.2,ad_video_details_bingo,,0,20000,金币
1.16415E+18,640000,2.01,ad_video_wild,,2,2.01,绿币
1.16492E+18,540000,2.2,ad_video_wild,,2,2.1,绿币
1.16325E+18,540000,1.79,ad_video_popup_bonus,礼物-在线奖励,1,1.69,绿币
1.16486E+18,1540000,1.52,ad_video_wild,,2,1.52,绿币
1.16485E+18,280000,0.97,ad_video_wild,,2,0.97,绿币
1.16361E+18,660000,2.43,ad_video_starfish,,1,1.36,绿币
1.16491E+18,640000,1.35,ad_video_popup_bonus,礼物-在线奖励,1,1.35,绿币
1.16481E+18,2540000,1.83,ad_video_starfish,,2,1.51,绿币
1.1649E+18,680000,2.78,ad_video_popup_bonus,礼物-在线奖励,2,2.58,绿币
1.1649E+18,640000,0,ad_video_wild,,1,20000,金币
1.16456E+18,180000,1.81,ad_video_checkin_double,,0,1.31,绿币
1.16467E+18,640000,1.76,ad_video_starfish,,2,1.55,绿币
1.16465E+18,640000,2.11,ad_video_popup_bonus,礼物-在线奖励,1,2.11,绿币
1.16491E+18,60000,2.45,ad_video_popup_powerup,,6,1.45,绿币
1.16466E+18,640000,1.47,ad_video_wild,,2,1.47,绿币
1.16492E+18,540000,2.56,ad_video_popup_bonus,标记海星,2,2.46,绿币
1.16438E+18,834000,3.28,ad_video_starfish,,4,1.84,绿币
1.16395E+18,1019000,0.91,ad_video_checkin_remedy,,0,0.71,绿币
1.16273E+18,700000,1.44,ad_video_wild,,2,1.44,绿币
1.16421E+18,740000,1.6,ad_video_popup_bonus,标记海星,2,1.6,绿币
1.16489E+18,600000,1.31,ad_video_wild,,2,1.31,绿币
1.16466E+18,545000,0.2,ad_video_popup_bonus,礼物-在线奖励,0,20000,金币
1.16444E+18,180000,2.03,ad_video_wild,,2,1.93,绿币
1.16421E+18,940000,3.62,ad_video_popup_bonus,标记海星,3,400000,金币
1.16464E+18,500000,1.67,ad_video_wild,,2,1.47,绿币
1.16427E+18,640000,1.47,ad_video_gift_ad,,1,1.47,绿币
1.16431E+18,540000,1.49,ad_video_popup_bonus,标记海星,2,0.99,绿币
1.16426E+18,540000,1.17,ad_video_popup_bonus,任务奖励,1,1.07,绿币
1.1649E+18,500000,1.53,ad_video_wild,,3,1.03,绿币
1.1642E+18,540000,3.01,ad_video_starfish,,2,2.49,绿币
1.16347E+18,540000,1.78,ad_video_wild,,2,1.58,绿币
1.16443E+18,540000,1.54,ad_video_checkin_double,,0,1.44,绿币
1.16488E+18,540000,2.14,ad_video_wild,,2,1.94,绿币
1.1647E+18,540000,4.57,ad_video_popup_bonus,礼物-在线奖励,1,3.57,绿币
1.16483E+18,755000,1.2,ad_video_starfish,,3,20000,金币
1.16415E+18,1240000,3.41,ad_video_cashgame_num,,2,1.5,绿币
1.16447E+18,640000,1.4,ad_video_popup_bonus,礼物-在线奖励,1,1.4,绿币
1.16488E+18,540000,1.94,ad_video_popup_bonus,标记海星,2,1.74,绿币
1.16485E+18,940000,2.23,ad_video_starfish,,1,1.88,绿币
1.16482E+18,1040000,1.98,ad_video_popup_bonus,礼物-在线奖励,1,1.98,绿币
1.16484E+18,180000,2.55,ad_video_wild,,2,2.45,绿币
1.16488E+18,740000,1.55,ad_video_popup_bonus,标记海星,2,1.55,绿币
1.1649E+18,540000,3.08,ad_video_popup_bonus,标记海星,2,2.88,绿币
1.16492E+18,540000,3.51,ad_video_popup_bonus,标记海星,2,3.31,绿币
1.16397E+18,743000,2.96,ad_video_popup_bonus,礼物-在线奖励,1,2.96,绿币
1.1649E+18,540000,1.65,ad_video_wild,,2,1.45,绿币
1.1649E+18,743000,5.19,ad_video_details_powerup,,1,4.58,绿币
1.1648E+18,740000,0,ad_video_wild,,1,20000,金币
1.16481E+18,540000,4.44,ad_video_popup_bonus,标记海星,2,2.44,绿币
1.16342E+18,540000,2.26,ad_video_popup_bonus,标记海星,2,2.06,绿币
1.16478E+18,1540000,1.91,ad_video_details_bingo,,1,1.91,绿币
1.16482E+18,540000,3.22,ad_video_starfish,,2,2.14,绿币
1.1648E+18,540000,1.13,ad_video_popup_bonus,标记海星,2,0.93,绿币
1.16455E+18,640000,1.54,ad_video_popup_bonus,标记海星,2,1.54,绿币
1.16481E+18,1440000,3.09,ad_video_popup_bonus,任务奖励,0,3.09,绿币
1.16484E+18,540000,3.17,ad_video_popup_bonus,标记海星,2,3.07,绿币
1.16473E+18,640000,1.82,ad_video_cashgame_num,,1,1.32,绿币
1.16482E+18,540000,1.84,ad_video_details_powerup,,1,1.74,绿币
1.16302E+18,680000,0.59,ad_video_wild,,5,1.02,绿币
1.16374E+18,1540000,1.89,ad_video_popup_bonus,标记海星,2,1.89,绿币
1.16375E+18,640000,0.94,ad_video_popup_bonus,标记海星,2,0.94,绿币
1.16482E+18,740000,2.61,ad_video_popup_bonus,标记海星,2,2.61,绿币
1.16482E+18,740000,0.54,ad_video_popup_bonus,标记海星,2,0.54,绿币
1.16376E+18,1040000,2.58,ad_video_popup_bonus,标记海星,2,2.58,绿币
1.16376E+18,1143000,2.36,ad_video_popup_bonus,礼物-在线奖励,2,0.96,绿币
1.16372E+18,640000,1.63,ad_video_popup_bonus,标记海星,2,1.63,绿币
1.16363E+18,540000,2.05,ad_video_details_bingo,,1,1.05,绿币
1.16374E+18,540000,0.1,ad_video_details_powerup,,0,20000,金币
1.16366E+18,293000,3.66,ad_video_starfish,,3,2.31,绿币
1.1629E+18,540000,1.67,ad_video_details_powerup,,1,1.17,绿币
1.16377E+18,1040000,0.77,ad_video_popup_bonus,标记海星,2,0.77,绿币
1.16302E+18,740000,1.33,ad_video_details_powerup,,1,1.33,绿币
1.16377E+18,540000,0.82,ad_video_popup_bonus,标记海星,2,0.72,绿币
1.16378E+18,2540000,0.53,ad_video_popup_bonus,标记海星,2,0.53,绿币
1.16377E+18,1540000,1.68,ad_video_popup_bonus,标记海星,2,1.68,绿币
1.16378E+18,640000,0.79,ad_video_popup_bonus,标记海星,2,0.79,绿币
1.1638E+18,740000,2.12,ad_video_starfish,,2,1.84,绿币
1.16259E+18,640000,0.85,ad_video_popup_bonus,,2,0.85,绿币
1.16378E+18,540000,0.84,ad_video_starfish,,2,0.38,绿币
1.16308E+18,540000,0.98,ad_video_popup_bonus,标记海星,2,0.88,绿币
1.1638E+18,640000,1.06,ad_video_starfish,,0,0.75,绿币
1.1638E+18,640000,1.29,ad_video_starfish,,2,0.92,绿币
1.16378E+18,740000,1.43,ad_video_popup_bonus,标记海星,2,1.43,绿币
1.16379E+18,640000,1.04,ad_video_popup_bonus,标记海星,2,0.94,绿币
1.16372E+18,780000,1.4,ad_video_checkin_double,,0,1.2,绿币
1.16327E+18,280000,0.83,ad_video_wild,,2,0.83,绿币
1.1638E+18,693000,3.36,ad_video_popup_bonus,礼物-在线奖励,3,1.89,绿币
1.16377E+18,540000,3.1,ad_video_wild,,2,2.29,绿币
1.16346E+18,540000,1.54,ad_video_starfish,,2,1.23,绿币
1.1637E+18,740000,0.99,ad_video_popup_bonus,标记海星,2,0.99,绿币
1.16378E+18,1040000,2.16,ad_video_wild,,2,2.16,绿币
1.16368E+18,540000,2.14,ad_video_starfish,,2,1.42,绿币
1.16378E+18,540000,1.59,ad_video_popup_bonus,标记海星,2,0.59,绿币
1.1632E+18,643000,3.89,ad_video_wild,,2,2.61,绿币
1.16367E+18,1040000,0.98,ad_video_starfish,,2,0.98,绿币
1.16369E+18,540000,1.23,ad_video_popup_bonus,标记海星,2,1.13,绿币
1.1637E+18,540000,3.09,ad_video_popup_bonus,,2,1.09,绿币
1.16349E+18,540000,1.41,ad_video_popup_bonus,任务奖励,1,1.21,绿币
1.16369E+18,540000,1.07,ad_video_popup_bonus,标记海星,2,0.97,绿币
1.16379E+18,540000,1.02,ad_video_wild,,2,0.92,绿币
1.1638E+18,540000,1.38,ad_video_wild,,2,1.28,绿币
1.16359E+18,540000,1.08,ad_video_popup_bonus,标记海星,2,0.58,绿币
1.16359E+18,540000,1.14,ad_video_popup_bonus,标记海星,2,1.04,绿币
1.16343E+18,540000,0.95,ad_video_popup_bonus,任务奖励,1,0.75,绿币
1.16359E+18,1180000,1.17,ad_video_wild,,2,1.17,绿币
1.16361E+18,740000,1.1,ad_video_popup_bonus,任务奖励,1,1.1,绿币
1.16361E+18,180000,1.07,ad_video_wild,,2,0.97,绿币
1.16285E+18,540000,1.1,ad_video_cashgame_num,,1,1,绿币
1.16355E+18,1540000,2.95,ad_video_starfish,,2,2.57,绿币
1.16355E+18,640000,1.47,ad_video_wild,,2,1.37,绿币
1.16344E+18,940000,1.09,ad_video_wild,,1,20000,金币
1.16357E+18,1040000,1.09,ad_video_popup_bonus,标记海星,2,1.09,绿币
1.16357E+18,520000,1.68,ad_video_starfish,,2,1.68,绿币
1.16357E+18,780000,0.58,ad_video_popup_bonus,标记海星,3,0.58,绿币
1.16366E+18,740000,0.8,ad_video_popup_bonus,标记海星,2,0.8,绿币
1.16358E+18,540000,1.8,ad_video_popup_bonus,任务奖励,1,1.6,绿币
1.16343E+18,740000,2.16,ad_video_popup_bonus,,2,2.16,绿币
1.16328E+18,640000,1.99,ad_video_starfish,,2,1.53,绿币
1.16345E+18,640000,1.63,ad_video_popup_bonus,任务奖励,1,1.63,绿币
1.16346E+18,540000,4.34,ad_video_cashgame_num,,2,3.41,绿币
1.16323E+18,540000,2.28,ad_video_starfish,,2,1.59,绿币
1.1633E+18,1045000,1.17,ad_video_popup_bonus,礼物-在线奖励,1,1.17,绿币
1.1635E+18,540000,2.63,ad_video_popup_bonus,标记海星,2,2.43,绿币
1.16277E+18,380000,1.65,ad_video_wild,,2,1.65,绿币
1.16351E+18,540000,1.12,ad_video_popup_bonus,标记海星,2,1.02,绿币
1.16343E+18,540000,0.36,ad_video_cashgame_num,,1,0.26,绿币
1.1634E+18,540000,0.1,ad_video_popup_bonus,礼物-在线奖励,0,20000,金币
1.16328E+18,940000,1.52,ad_video_starfish,,1,20000,金币
1.16352E+18,940000,0.55,ad_video_cashgame_num,,2,0.23,绿币
1.16349E+18,480000,0,ad_video_wild,,1,-40000,金币
1.16352E+18,640000,0.78,ad_video_popup_bonus,礼物-在线奖励,1,0.78,绿币
1.16356E+18,880000,0,ad_video_wild,,1,400000,金币
1.16357E+18,740000,0.47,ad_video_cashgame_num,,1,0.47,绿币
1.16355E+18,540000,1,ad_video_popup_bonus,标记海星,2,20000,金币
1.16285E+18,535000,1.09,ad_video_gift_ad,,6,0.99,绿币
1.16345E+18,540000,1.57,ad_video_popup_bonus,礼物-在线奖励,1,1.37,绿币
1.16347E+18,540000,0.72,ad_video_popup_bonus,任务奖励,1,0.22,绿币
1.16346E+18,540000,1.61,ad_video_popup_bonus,标记海星,2,1.51,绿币
1.16347E+18,640000,1.34,ad_video_starfish,,2,1.07,绿币
1.16348E+18,540000,1.65,ad_video_popup_bonus,标记海星,2,1.55,绿币
1.16311E+18,640000,0.88,ad_video_starfish,,2,0.68,绿币
1.16364E+18,540000,1.61,ad_video_popup_bonus,标记海星,2,1.51,绿币
1.16346E+18,640000,1.65,ad_video_popup_bonus,礼物-在线奖励,1,1.15,绿币
1.16343E+18,840000,2.72,ad_video_popup_bonus,标记海星,2,1.93,绿币
1.16347E+18,640000,1.31,ad_video_popup_bonus,标记海星,2,1.31,绿币
1.16274E+18,5540000,1.35,ad_video_popup_bonus,任务奖励,1,1.35,绿币
1.16383E+18,540000,1.38,ad_video_popup_bonus,标记海星,2,1.28,绿币
1.1626E+18,1940000,0.24,ad_video_starfish,,3,1.98,绿币
1.16374E+18,540000,2.32,ad_video_popup_bonus,标记海星,2,1.82,绿币
1.16368E+18,1040000,1.31,ad_video_details_powerup,,1,1.31,绿币
1.16376E+18,640000,3.46,ad_video_starfish,,2,1.25,绿币
1.16273E+18,740000,5.99,ad_video_popup_bonus,礼物-在线奖励,0,20000,金币
1.1638E+18,180000,2.23,ad_video_starfish,,3,0.81,绿币
1.1633E+18,940000,1.29,ad_video_checkin_double,,0,1.09,绿币
1.16379E+18,280000,0.2,ad_video_details_bingo,,1,20000,金币
1.16302E+18,2540000,1.14,ad_video_popup_bonus,标记海星,2,1.14,绿币
1.1629E+18,10540000,1.09,ad_video_starfish,,2,0.95,绿币
1.16374E+18,1140000,1.14,ad_video_wild,,2,1.14,绿币
1.16342E+18,1243000,7.88,ad_video_wild,,1,3.17,绿币
1.16479E+18,740000,0.36,ad_video_wild,,2,2.35,绿币
1.16463E+18,640000,1.81,ad_video_details_bingo,,1,1.81,绿币
1.16301E+18,540000,1.14,ad_video_popup_bonus,标记海星,2,1.04,绿币
1.16479E+18,520000,5.08,ad_video_login_recovery,,0,2.09,绿币
1.16488E+18,740000,2.83,ad_video_starfish,,2,2.03,绿币
1.16488E+18,640000,1.1,ad_video_popup_bonus,任务奖励,1,1.1,绿币
1.16275E+18,180000,1.68,ad_video_wild,,2,1.48,绿币
1.16488E+18,640000,1.32,ad_video_popup_bonus,标记海星,2,1.32,绿币
1.16482E+18,740000,0,ad_video_popup_bonus,标记海星,2,20000,金币
1.1644E+18,540000,4.26,ad_video_popup_bonus,任务奖励,1,4.16,绿币
1.16327E+18,640000,1.55,ad_video_starfish,,2,1.21,绿币
1.1634E+18,540000,1.43,ad_video_popup_bonus,标记海星,2,0.43,绿币
1.16342E+18,540000,1.12,ad_video_popup_bonus,标记海星,2,0.62,绿币
1.16338E+18,600000,0.55,ad_video_wild,,2,0.55,绿币
1.16281E+18,45000,2.92,ad_video_checkin_remedy,,0,0.71,绿币
1.16303E+18,1540000,1.81,ad_video_popup_bonus,任务奖励,1,1.81,绿币
1.16341E+18,740000,1.54,ad_video_popup_bonus,标记海星,2,1.54,绿币
1.16343E+18,540000,1.49,ad_video_popup_bonus,标记海星,2,1.39,绿币
1.16316E+18,2556000,1.84,ad_video_starfish,,0,1.13,绿币
1.16339E+18,920000,0,ad_video_popup_bonus,任务奖励,1,400000,金币
1.16349E+18,540000,2.24,ad_video_popup_bonus,标记海星,2,1.24,绿币
1.16346E+18,740000,1.71,ad_video_popup_bonus,标记海星,2,1.71,绿币
1.16284E+18,625000,2.49,ad_video_popup_bonus,任务奖励,4,1.27,绿币
1.16334E+18,1040000,1.5,ad_video_popup_bonus,礼物-在线奖励,0,1.4,绿币
1.16329E+18,1043000,2.79,ad_video_popup_bonus,任务奖励,1,2.29,绿币
1.16281E+18,820000,0.51,ad_video_wild,,2,0.31,绿币
1.16366E+18,740000,1.26,ad_video_starfish,,2,1.04,绿币
1.16317E+18,940000,2.32,ad_video_wild,,1,2.12,绿币
1.16286E+18,320000,1.22,ad_video_popup_bonus,礼物-在线奖励,0,1.02,绿币
1.16358E+18,180000,1.58,ad_video_details_powerup,,3,0.99,绿币
1.16361E+18,340000,0,ad_video_wild,,2,-240000,金币
1.16359E+18,540000,1.19,ad_video_popup_bonus,,2,1.19,绿币
1.1636E+18,640000,1.96,ad_video_popup_bonus,任务奖励,1,1.96,绿币
1.16335E+18,1540000,1.56,ad_video_starfish,,2,1.39,绿币
1.16281E+18,540000,1,ad_video_details_powerup,,1,20000,金币
1.16487E+18,190000,2.86,ad_video_popup_bonus,任务奖励,3,1.55,绿币
1.16268E+18,740000,0.7,ad_video_popup_bonus,,2,0.7,绿币
1.16415E+18,540000,2.17,ad_video_wild,,2,2.07,绿币
1.16301E+18,540000,3.85,ad_video_popup_bonus,礼物-在线奖励,1,2.85,绿币
1.16486E+18,740000,2.07,ad_video_starfish,,2,1.85,绿币
1.16493E+18,180000,1.72,ad_video_wild,,2,1.62,绿币
1.16491E+18,640000,1.53,ad_video_popup_bonus,标记海星,1,1.53,绿币
1.16494E+18,920000,0,ad_video_details_bingo,,0,400000,金币
1.16343E+18,540000,1.35,ad_video_popup_bonus,标记海星,2,0.85,绿币
1.16397E+18,973000,9.88,ad_video_details_powerup,,6,1.17,绿币
1.16418E+18,280000,0,ad_video_wild,,1,-240000,金币
1.16412E+18,640000,1.29,ad_video_popup_bonus,标记海星,2,1.29,绿币
1.16413E+18,180000,3.02,ad_video_wild,,2,2.52,绿币
1.16414E+18,540000,2.16,ad_video_popup_bonus,标记海星,2,2.06,绿币
1.16414E+18,540000,3.56,ad_video_details_bingo,,1,1.56,绿币
1.16414E+18,1040000,3.96,ad_video_starfish,,2,3.68,绿币
1.16416E+18,540000,2.82,ad_video_starfish,,2,1.59,绿币
1.16408E+18,640000,3.2,ad_video_popup_bonus,礼物-在线奖励,1,1.2,绿币
1.16414E+18,180000,0.2,ad_video_wild,,1,20000,金币
1.16414E+18,540000,1.42,ad_video_starfish,,2,1.06,绿币
1.16415E+18,640000,1.85,ad_video_starfish,,2,1.85,绿币
1.16383E+18,540000,1.99,ad_video_popup_bonus,标记海星,2,1.89,绿币
