用户id,金币余额,绿币余额,ad_name,通用奖励翻倍原因,累计游戏场次,reward
1.16487E+18,1940000,1.58,ad_video_popup_bonus,礼物-在线奖励,1,"金币:0,绿币:0.22"
1.16417E+18,540000,0.55,ad_video_popup_bonus,标记海星,2,"金币:5000,绿币:0"
1.16492E+18,640000,3.14,ad_video_starfish,,2,"金币:0,绿币:0.72"
1.16487E+18,1040000,4.74,ad_video_gift_ad,,0,"金币:5000,绿币:0"
1.16488E+18,1040000,2.63,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.24"
1.16489E+18,540000,3.13,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.02"
1.16364E+18,640000,0.35,ad_video_popup_bonus,任务奖励,1,"金币:400000,绿币:0"
1.16448E+18,2540000,1.77,ad_video_cashgame_num,,0,"金币:0,绿币:0.49"
1.16345E+18,1043000,4.84,ad_video_starfish,,2,"金币:undefined,绿币:0.02"
1.16423E+18,2540000,1.58,ad_video_popup_bonus,标记海星,2,"金币:13748,绿币:undefined"
1.16488E+18,5540000,1.27,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.23"
1.16466E+18,540000,2.75,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.02"
1.16279E+18,280000,3.72,ad_video_starfish,,0,"金币:0,绿币:0.28"
1.16487E+18,640000,2.34,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.16489E+18,1540000,1.46,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.25"
1.16482E+18,640000,1.1,ad_video_cashgame_num,,1,"金币:undefined,绿币:0.02"
1.16436E+18,1540000,1.97,ad_video_popup_bonus,任务奖励,0,"金币:0,绿币:0.29"
1.16368E+18,540000,2.12,ad_video_popup_bonus,标记海星,2,"金币:0,绿币:0.72"
1.16486E+18,740000,3.62,ad_video_popup_bonus,标记海星,2,"金币:undefined,绿币:0.04"
1.1629E+18,640000,2.09,ad_video_popup_bonus,标记海星,2,"金币:5000,绿币:0"
1.16488E+18,740000,2.61,ad_video_starfish,,2,"金币:0,绿币:0.42"
1.16367E+18,1540000,2.02,ad_video_starfish,,2,"金币:0,绿币:0.26"
