,content,send_at
0,oop,2023-12-18 10:05:26.074
1,😂😂,2023-12-18 10:11:57.341
2,??,2023-12-18 10:12:36.330
3,😂,2023-12-18 10:14:33.900
4,😂😂,2023-12-18 10:16:53.714
5,nxjsk,2023-12-18 10:16:57.065
6,1,2023-12-20 07:55:18.748
7,あのなにもしてないのにデータが初期化されたんですけどどうすればいいですか？,2023-12-22 00:53:16.078
8,iPhone15 Pro でプレイする際にヘッダーフッター共にUIが隠れているので画面の縮小をお願いいたします。インカメラの横1列は模様等に変更して下に少しズラすことは可能でしょうか。現状は待機画面はスタミナが隠れ、戦闘中はレベルアップのゲージが隠れています。ご検討をよろしくお願いいたします。,2023-12-22 03:44:45.738
9,SilentWhisp,2023-12-22 04:01:30.325
10,https://ds4vggi6uzqae.cloudfront.net/saas/chat/vg2BTE8dTEQGajoeeomOBovp5tocTf0b.jpg,2023-12-22 06:03:50.926
11,😁,2023-12-22 06:03:59.275
12,https://ds4vggi6uzqae.cloudfront.net/saas/chat/SvbTuKWOSPWiNmRhWf7uOvswPavaKuLY.mp4,2023-12-22 06:29:52.550
13,ボス戦突入時、フィールドが狭くなったちょうど端のダメージを受ける柵みたいなところにいると、その場を離れても永続ダメージを受けながらボスと戦うことになる。修正よろしくお願いします。,2023-12-22 06:38:41.034
14,😄,2023-12-22 06:47:26.826
15,ギフトカードの対応をお願いいたします。,2023-12-22 14:58:37.713
16,f53bdd2b-6cff-4694-b445-838791f7d6d5,2023-12-22 14:58:49.367
17,[code]StormHaven,2023-12-22 15:00:32.518
18,ギフトコード入力がないのですがどうすればいいですか？,2023-12-22 22:45:34.084
19,iPhoneからAndroidにデータ移行する事は可能ですか？,2023-12-23 15:31:13.763
20,シリアルコード入力ボタンがありません,2023-12-23 19:19:10.705
21,最初からやり直したい,2023-12-24 01:58:47.474
22,こんにちわ。画面レイアウトについてですが、&quot;挑戦&quot;と&quot;Xmasフェスティバル&quot;のアイコンが重なってしまい、Xmasフェスティバルがタップできません。,2023-12-25 03:22:28.360
23,iosでプレイしています。設定画面の所にシリアルコードを入力する項目がありません。対応お願いします。,2023-12-25 07:51:26.106
24,要望があります。データ連携としてFacebookやGoogleなどのアカウント連携をし、他のOS間や端末で進行の同期を行いたいです。昨日追加を要望します,2023-12-25 07:59:51.914
25,誤字をしました。先ほどのメッセージの末尾は機能追加を要望します。,2023-12-25 08:00:42.747
26,こんにちは。いつも楽しくプレイしています。キャンディのLVアップに必要な欠片はどうやって入手できますか？ランダムレジェンド欠片に表示されません。対応お願いします。,2023-12-25 09:08:20.390
27,StormHaven   CrystalTide   AbyssMist   MoneyMagic   CrimsonWings   AshenGale   Shadowfire   SilentWhisp   VerdantGaze   Emberfang   CrimsonSky   SilverFury  CelestialGaze　現在確認できるコードはこちらでした。よろしくお願いします。,2023-12-25 10:09:21.621
28,迅速な対応ありがとうございます！,2023-12-25 11:02:39.642
29,iOSの為引き換えコード変えて欲しいです。,2023-12-25 12:54:12.347
30,お返事ありがとうございます。良いクリスマスを🎄,2023-12-25 12:54:20.355
31,https://ds4vggi6uzqae.cloudfront.net/saas/chat/c7moSpvVkyFFxXi5wol6zpGbZmwqjAkg.jpg,2023-12-25 15:06:03.721
32,Shadowfire,2023-12-25 19:37:13.493
33,1cf79b22-fe29-47c6-b79d-9aa6c9d23ad9,2023-12-26 06:00:43.728
34,シリアルコード送ります,2023-12-26 06:01:09.259
35,CelestialGaze,2023-12-26 06:01:44.934
36,SilverFury,2023-12-26 06:02:15.452
37,CrimsonSky,2023-12-26 06:02:51.129
38,Emberfang,2023-12-26 06:03:22.230
39,VerdantGaze,2023-12-26 06:04:00.861
40,SilentWhisp,2023-12-26 06:04:30.016
41,Shadowfire,2023-12-26 06:05:05.769
42,AshenGale,2023-12-26 06:05:34.940
43,CrimsonWings,2023-12-26 06:06:10.866
44,MoneyMagic,2023-12-26 06:06:32.416
45,AbyssMist,2023-12-26 06:06:59.302
46,CrystalTide,2023-12-26 06:07:18.691
47,StormHaven,2023-12-26 06:07:45.155
48,よろしくお願いします。,2023-12-26 06:07:54.521
49,こんにちは！終末先鋒隊を楽しくプレイさせていただいてるのですが、iosを使っているんですけどシリアルコードを入力出来るところが無いのですがどうしたら良いでしょうか？,2023-12-26 07:00:22.298
50,シリアルコードの入力欄がありません,2023-12-26 11:53:15.459
51,シリアルコードはどこで入力するのですか？,2023-12-26 13:19:59.980
52,こんばんは。シリアルコードが打てません、解決策はありますでしょうか？,2023-12-26 13:20:43.597
53,データを消してください,2023-12-26 15:03:14.528
54,976acbb4-3b6c-4269-b652-1acbd75ef729,2023-12-26 15:03:24.948
55,"引き換えコードアイテムお願いします。 SL1+-ID e078ba08-ab63-425e-89bc-c07b6calc9c0 引き換えコード Shadowfire 源石：200 ]-ILE: 6666 SilentWhisp 源石：1,000 VerdantGazeゴールド：6666 Emberfang 金の鍵：2 上級宝箱（装備ガチャ） CrimsonSky 源石：300 SilverFury 源石：500 CelestialGaze 77=7 : 10 CrimsonWings #-)L #* : 20,000 MoneyMagic：ゴールド6666,源石*100 AbyssMist：召募カード *1 CrystalTide：源石+300 StormHaven：ゴールド +8888 よろしくお願いします。",2023-12-26 16:08:39.329
56,シリアルコード入れるとこがありません,2023-12-27 00:09:43.422
