user_id,当前角色个数,当前战斗力,可挑战关卡,等级,当前钻石,渠道,游戏次数,累计获取钻石,累计获取金币,累计角色抽卡,累计广告次数
1180064767100854272,8,296,6,13,489,Google Ads ACI,9.0,3759.0,661185.0,8.0,19.0
1180071985519009792,10,340,6,15,1857,Organic,24.0,4167.0,961548.0,15.0,14.0
1180083504994586624,4,150,3,9,1485,Organic,3.0,1075.0,209966.0,3.0,null
1180090593167028224,9,495,6,12,495,Organic,9.0,2925.0,562207.0,15.0,6.0
1180103618037030912,3,155,3,8,47,Google Ads ACI,3.0,1717.0,213297.0,2.0,null
1180106475142389760,2,115,2,2,759,Google Ads ACI,3.0,709.0,38353.0,2.0,3.0
1180116869089075200,3,67,2,3,1299,Organic,4.0,1249.0,131913.0,2.0,5.0
1180117861650145280,6,276,3,10,183,Organic,10.0,1833.0,337224.0,10.0,13.0
1180121347502645248,10,374,8,13,239,Google Ads ACI,9.0,3679.0,671006.0,21.0,25.0
1180123723630383104,5,99,3,6,169,Organic,5.0,519.0,81440.0,4.0,2.0
1180135449037901824,4,557,7,12,1187,Organic,25.0,4637.0,734526.0,6.0,29.0
1180152541057388546,3,112,3,9,1542,Organic,3.0,1142.0,216391.0,2.0,3.0
1180174110005665792,8,201,6,9,52,Unity ads_MB,10.0,2972.0,362491.0,12.0,4.0
1180184570218160135,5,329,6,11,2781,Organic,8.0,2831.0,458472.0,7.0,6.0
1180188706745626624,2,265,6,13,3062,Unity ads_MB,34.0,2507.0,824126.0,1.0,38.0
1180190930553016320,3,138,3,7,987,Organic,6.0,977.0,89189.0,3.0,null
1180201131616251904,4,317,4,9,1334,Organic,8.0,2674.0,324045.0,3.0,4.0
1180203867279732736,5,218,3,8,1784,Organic,5.0,1434.0,134810.0,4.0,1.0
1180240908809932802,4,174,3,9,1574,Google Ads ACI,6.0,1174.0,207776.0,3.0,3.0
1180244956619476992,4,214,4,10,1913,Google Ads ACI,7.0,2183.0,340910.0,3.0,5.0
1180251894015074304,6,114,3,7,891,Google Ads ACI,4.0,1191.0,133740.0,5.0,9.0
1180261992661786624,2,97,2,2,1304,Google Ads ACI,4.0,1254.0,113444.0,2.0,1.0
1180262924824883200,3,94,3,7,1322,Google Ads ACI,5.0,1072.0,102677.0,2.0,1.0
1180265549179916288,2,139,3,8,989,Organic,3.0,939.0,97551.0,3.0,null
1180266635462713344,3,285,5,8,1288,Organic,8.0,2438.0,210572.0,4.0,8.0
1180268788222791680,8,217,5,9,290,Organic,7.0,2290.0,241477.0,11.0,5.0
1180269913596502016,3,111,3,8,1626,Organic,5.0,1276.0,165020.0,2.0,9.0
1180280985279803394,4,147,5,8,2073,Google Ads ACI,8.0,1813.0,189650.0,4.0,3.0
1180289287057313792,5,77,3,4,251,Organic,4.0,701.0,30045.0,4.0,3.0
1180300984501415936,8,504,4,11,41,Google Ads ACI,18.0,2901.0,400141.0,14.0,4.0
1180301855037599744,10,506,7,11,1476,Organic,13.0,4086.0,601615.0,16.0,23.0
1180310701957197824,3,155,5,9,1910,null,7.0,1590.0,209995.0,3.0,7.0
1180310887311872000,11,799,8,13,257,Organic,21.0,4297.0,898696.0,23.0,23.0
1180327684140441600,2,217,4,9,648,Organic,3.0,848.0,169318.0,4.0,null
1180332255638204416,7,111,5,8,170,Organic,8.0,2220.0,207827.0,12.0,2.0
1180334848712122368,4,223,5,9,2651,Organic,4.0,2251.0,249061.0,4.0,10.0
1180337154165846016,7,604,8,11,2640,Organic,11.0,3330.0,570122.0,8.0,6.0
1180396265603608576,2,40,2,2,689,Organic,4.0,639.0,97323.0,1.0,null
1180403618314985472,7,140,5,7,30,Unattributed,9.0,2130.0,171124.0,12.0,12.0
1180410975887560704,4,283,5,9,1189,Unity ads_MB,7.0,2129.0,226929.0,4.0,9.0
1180411171677679619,10,454,4,8,278,Organic,9.0,3718.0,251908.0,12.0,6.0
1180423271720423424,9,500,12,10,1032,Organic,14.0,4092.0,743262.0,23.0,null
1180426591138754560,4,220,5,10,1659,Organic,7.0,2629.0,376721.0,4.0,null
1180433017374515200,11,432,9,11,752,Organic,15.0,3532.0,554968.0,19.0,null
1180437566592126976,2,56,2,2,437,Unattributed,2.0,387.0,730.0,1.0,null
1180444340263071744,2,28,3,2,600,Organic,2.0,550.0,15807.0,1.0,1.0
1180452007845044228,10,741,9,14,128,Gmo smaad,30.0,5558.0,945030.0,28.0,36.0
1180474778046173184,3,186,5,10,2195,Organic,6.0,1745.0,210815.0,3.0,1.0
1180506054354538496,3,276,6,11,2182,Organic,5.0,2972.0,494983.0,2.0,5.0
1180509681991294976,12,646,9,12,1756,Organic,24.0,4076.0,731689.0,21.0,17.0
1180510929008205824,2,68,3,9,687,Unity ads_MB,6.0,287.0,235019.0,1.0,null
1180515409393098752,2,210,4,10,2017,Organic,3.0,1567.0,272240.0,1.0,1.0
1180530888824332288,5,344,5,9,1361,Unattributed,10.0,4971.0,362615.0,3.0,1.0
1180537082272034816,3,63,2,2,555,Organic,3.0,805.0,22600.0,2.0,null
1180537261809209344,10,371,4,10,321,Google Ads ACI,14.0,2871.0,396133.0,12.0,18.0
1180553551349297152,3,111,3,8,937,Organic,4.0,887.0,104849.0,3.0,null
1180566163814354944,7,59,3,4,138,Google Ads ACI,3.0,1488.0,119750.0,7.0,null
1180581790910259200,9,554,10,13,27,Unattributed,17.0,3917.0,778323.0,20.0,14.0
1180585107489034240,4,130,5,4,564,Unattributed,4.0,794.0,55420.0,4.0,null
1180587880783814656,8,619,8,11,167,Organic,12.0,3947.0,750126.0,14.0,7.0
1180597953300013056,9,524,9,11,30,Organic,19.0,4065.0,701778.0,18.0,33.0
1180605198297473024,6,142,4,8,135,Google Ads ACI,15.0,1635.0,178138.0,9.0,6.0
1180611923771662336,3,252,6,10,2096,Google Ads ACI,12.0,3066.0,486019.0,5.0,9.0
1180631292685852672,3,209,3,9,66,Google Ads ACI,3.0,866.0,183410.0,6.0,null
1180632227956924416,6,337,7,10,2404,Unattributed,21.0,3374.0,540858.0,6.0,19.0
1180652339879481344,6,217,5,8,1108,Organic,10.0,2018.0,194252.0,7.0,9.0
1180653663530520576,5,63,3,4,93,Organic,4.0,923.0,31280.0,5.0,2.0
1180654986573389824,2,141,3,9,1305,Google Ads ACI,5.0,905.0,182482.0,2.0,null
1180656207258456064,5,211,6,11,3126,Google Ads ACI,7.0,2576.0,438786.0,5.0,5.0
1180657079405256704,3,246,3,7,742,Apple Search Ads,7.0,1862.0,166720.0,3.0,4.0
1180661366462099456,7,477,7,11,2981,Organic,8.0,3771.0,458017.0,7.0,6.0
1180684566105432064,9,238,6,11,269,Google Ads ACI,7.0,2719.0,467433.0,15.0,6.0
1180693946448224258,9,636,8,13,174,Organic,18.0,4114.0,1049946.0,17.0,23.0
1180740544586854400,5,369,5,10,2146,Organic,7.0,3086.0,416110.0,5.0,null
1180744146806120448,6,247,7,8,244,Organic,14.0,2374.0,275217.0,14.0,4.0
1180771462550654976,7,338,11,11,3765,Organic,11.0,4415.0,631567.0,14.0,null
1180773244001595392,4,304,4,10,942,Organic,7.0,1852.0,291205.0,3.0,7.0
1180807595120660480,11,677,21,12,1052,Organic,24.0,5378.0,1005257.0,22.0,null
1180813256483151872,3,133,3,7,51,Google Ads ACI,5.0,721.0,108802.0,3.0,1.0
1180818134668423172,8,379,5,11,82,Google Ads ACI,8.0,2282.0,340291.0,15.0,8.0
1180819325318082560,8,214,5,11,424,null,6.0,1549.0,356551.0,9.0,13.0
1180824248822800384,3,166,4,10,824,Organic,5.0,1714.0,330559.0,3.0,21.0
1180834861313691654,2,252,5,11,2762,Organic,4.0,2212.0,345370.0,4.0,10.0
1180843171945390080,6,228,5,12,2348,Google Ads ACI,12.0,3038.0,507534.0,5.0,24.0
1180843718068936704,11,832,9,14,2490,Unity ads_MB,22.0,6975.0,1179738.0,19.0,36.0
