user_id,事件,时间,顺序
1180771462550654976,Game_Level_enter,2023-12-07 07:00:52.179,1
1180771462550654976,equipment,2023-12-07 07:00:48.605,2
1180771462550654976,equipment,2023-12-07 07:00:44.675,3
1181090770514350084,equipment,2023-12-05 18:24:08.286,1
1181090770514350084,role_recruit,2023-12-05 18:23:45.897,2
1181090770514350084,equipment,2023-12-05 18:23:26.690,3
1180689705688109056,draw_card,2023-12-04 17:49:22.901,1
1180689705688109056,equipment,2023-12-04 17:49:22.721,2
1180689705688109056,role_recruit,2023-12-04 17:49:07.720,3
1180905079549468672,Game_Level_enter,2023-12-05 17:18:55.168,1
1180905079549468672,Game_Level_enter,2023-12-05 17:15:31.657,2
1180905079549468672,draw_card,2023-12-05 17:15:10.512,3
1184528051178840064,role_recruit,2023-12-17 09:12:59.565,1
1184528051178840064,equipment,2023-12-17 09:12:05.023,2
1184528051178840064,draw_card,2023-12-17 09:11:50.830,3
1184480103216713732,equipment,2023-12-15 08:23:51.787,1
1184480103216713732,equipment,2023-12-14 07:45:05.459,2
1184480103216713732,draw_card,2023-12-14 07:44:59.491,3
1184522140032970752,draw_card,2023-12-15 15:08:25.968,1
1184522140032970752,equipment,2023-12-15 15:08:25.815,2
1184522140032970752,equipment,2023-12-14 21:40:16.080,3
1184212283199336452,equipment,2023-12-16 11:15:13.038,1
1184212283199336452,equipment,2023-12-16 11:15:13.038,1
1184212283199336452,equipment,2023-12-16 11:15:13.038,1
1184212283199336452,equipment,2023-12-16 11:15:13.038,1
1184538671332728832,Game_Level_enter,2023-12-17 10:36:47.830,1
1184538671332728832,Game_Level_enter,2023-12-14 21:41:25.530,2
1184538671332728832,Game_Level_enter,2023-12-14 21:10:42.812,3
1184517427082305536,equipment,2023-12-29 08:58:47.548,1
1184517427082305536,equipment,2023-12-29 08:58:46.929,2
1184517427082305536,equipment,2023-12-29 08:58:42.378,3
1184522922912391168,equipment,2023-12-15 13:25:57.535,1
1184522922912391168,Game_Level_enter,2023-12-15 13:10:31.071,2
1184522922912391168,role_recruit,2023-12-15 13:09:28.887,3
1184520677479157760,equipment,2023-12-16 22:42:46.840,1
1184520677479157760,equipment,2023-12-16 22:42:43.420,2
1184520677479157760,equipment,2023-12-16 22:42:37.557,3
1183748843829731328,role_recruit,2023-12-13 14:13:22.687,1
1183748843829731328,equipment,2023-12-13 14:12:41.200,2
1183748843829731328,equipment,2023-12-13 14:12:19.724,3
1184191608573140992,Game_Level_enter,2023-12-15 18:43:55.266,1
1184191608573140992,equipment,2023-12-15 18:43:40.040,2
1184191608573140992,equipment,2023-12-15 18:43:37.427,3
1181988414753345536,Game_Level_enter,2023-12-15 17:31:11.340,1
1181988414753345536,Game_Level_enter,2023-12-13 14:56:19.241,2
1181988414753345536,role_recruit,2023-12-06 17:09:19.734,3
1184492116680646656,Game_Level_enter,2023-12-16 15:05:31.868,1
1184492116680646656,In_appPurchases_BuyFailed,2023-12-16 15:04:46.529,2
1184492116680646656,Game_Level_enter,2023-12-13 14:58:13.988,3
1184263668662013952,equipment,2023-12-14 13:24:17.593,1
1184263668662013952,Game_Level_enter,2023-12-14 13:13:23.981,2
1184263668662013952,equipment,2023-12-14 11:17:52.190,3
1182827128463306752,Game_Level_enter,2023-12-13 12:12:42.218,1
1182827128463306752,equipment,2023-12-09 05:50:37.360,2
1182827128463306752,equipment,2023-12-09 05:50:34.067,3
1184292303762632704,equipment,2023-12-15 13:44:20.367,1
1184292303762632704,Game_Level_enter,2023-12-15 13:36:34.975,2
1184292303762632704,equipment,2023-12-15 13:34:58.509,3
1183852166285107200,equipment,2023-12-14 08:20:22.738,1
1183852166285107200,equipment,2023-12-14 08:15:20.943,2
1183852166285107200,equipment,2023-12-14 08:15:20.943,2
1184256227006226434,equipment,2023-12-14 20:40:04.852,1
1184256227006226434,equipment,2023-12-14 20:40:01.915,2
1184256227006226434,equipment,2023-12-14 20:39:58.872,3
1184596743841386516,Game_Level_enter,2023-12-14 21:43:30.472,1
1184596743841386516,equipment,2023-12-14 21:43:18.873,2
1184596743841386516,equipment,2023-12-14 21:43:06.658,3
1184596743841386516,equipment,2023-12-14 21:43:06.658,3
1184562126459506688,equipment,2023-12-15 17:06:08.896,1
1184562126459506688,draw_card,2023-12-15 17:05:59.933,2
1184562126459506688,equipment,2023-12-15 17:05:59.726,3
1184594150591307787,equipment,2023-12-27 17:47:18.594,1
1184594150591307787,equipment,2023-12-27 17:47:14.929,2
1184594150591307787,role_recruit,2023-12-27 17:31:16.152,3
1183423782040117248,equipment,2023-12-13 21:23:24.635,1
1183423782040117248,equipment,2023-12-13 21:23:23.298,2
1183423782040117248,equipment,2023-12-13 21:23:21.714,3
1184028303669858304,Game_Level_enter,2023-12-13 22:28:58.517,1
1184028303669858304,equipment,2023-12-13 22:28:49.506,2
1184028303669858304,equipment,2023-12-13 22:28:46.460,3
1182966495290859520,equipment,2023-12-13 23:20:34.431,1
1182966495290859520,equipment,2023-12-13 23:20:34.430,2
1182966495290859520,Game_Level_enter,2023-12-13 23:04:47.408,3
1184602520073285632,draw_card,2023-12-15 21:05:33.668,1
1184602520073285632,equipment,2023-12-15 21:05:33.524,2
1184602520073285632,equipment,2023-12-15 21:05:33.521,3
1184573882607087616,Game_Level_enter,2023-12-18 06:09:21.664,1
1184573882607087616,role_recruit,2023-12-18 06:07:11.337,2
1184573882607087616,equipment,2023-12-18 06:06:00.286,3
1184580981089112064,Game_Level_enter,2023-12-19 21:14:19.276,1
1184580981089112064,equipment,2023-12-15 20:55:16.562,2
1184580981089112064,equipment,2023-12-15 20:55:12.883,3
1184453977161342976,role_recruit,2023-12-16 00:41:24.729,1
1184453977161342976,role_recruit,2023-12-16 00:39:04.396,2
1184453977161342976,equipment,2023-12-16 00:38:17.928,3
1184595871195471872,Game_Level_enter,2023-12-15 17:49:48.279,1
1184595871195471872,draw_card,2023-12-15 10:31:09.788,2
1184595871195471872,equipment,2023-12-15 10:31:09.622,3
1183773254439931904,equipment,2023-12-15 01:14:36.014,1
1183773254439931904,Game_Level_enter,2023-12-13 22:08:12.805,2
1183773254439931904,draw_card,2023-12-13 22:08:08.301,3
1183690220185329664,Game_Level_enter,2023-12-13 21:48:02.864,1
1183690220185329664,role_recruit,2023-12-13 21:47:47.613,2
1183690220185329664,role_recruit,2023-12-13 21:47:40.161,3
1182734593858473984,Game_Level_enter,2023-12-13 11:16:42.823,1
1182734593858473984,In_appPurchases_BuyFailed,2023-12-09 13:36:21.437,2
1182734593858473984,In_appPurchases_BuyFailed,2023-12-08 18:36:56.641,3
1182082654032375808,role_recruit,2023-12-08 14:20:35.412,1
1182082654032375808,role_recruit,2023-12-08 14:20:32.862,2
1182082654032375808,equipment,2023-12-08 14:18:52.644,3
1182075105694453760,Game_Level_enter,2023-12-09 09:18:58.766,1
1182075105694453760,equipment,2023-12-09 09:18:42.587,2
1182075105694453760,equipment,2023-12-09 09:18:39.998,3
1181893888911085568,Game_Level_enter,2023-12-08 09:26:31.827,1
1181893888911085568,equipment,2023-12-08 09:25:40.011,2
1181893888911085568,equipment,2023-12-08 09:25:19.235,3
1181893888911085568,equipment,2023-12-08 09:25:19.235,3
1182254907210604544,equipment,2023-12-10 09:11:46.270,1
1182254907210604544,equipment,2023-12-10 09:11:37.255,2
1182254907210604544,role_recruit,2023-12-08 09:01:47.482,3
1182047492875751424,draw_card,2023-12-08 15:13:06.018,1
1182047492875751424,equipment,2023-12-08 15:13:05.219,2
1182047492875751424,equipment,2023-12-08 05:53:46.414,3
1182114036372742150,equipment,2023-12-08 10:33:19.287,1
1182114036372742150,equipment,2023-12-08 10:33:19.286,2
1182114036372742150,equipment,2023-12-08 10:33:16.636,3
1182554959556644864,Game_Level_enter,2023-12-09 23:43:55.702,1
1182554959556644864,equipment,2023-12-09 23:41:56.013,2
1182554959556644864,equipment,2023-12-09 23:41:56.013,2
1182554959556644864,equipment,2023-12-09 23:41:56.013,2
1182554959556644864,equipment,2023-12-09 23:41:56.013,2
1182104600040189952,role_recruit,2023-12-15 18:16:49.285,1
1182104600040189952,role_recruit,2023-12-15 18:16:42.291,2
1182104600040189952,equipment,2023-12-15 18:16:21.242,3
1182444548601679872,role_recruit,2023-12-10 00:10:16.954,1
1182444548601679872,role_recruit,2023-12-10 00:10:14.150,2
1182444548601679872,equipment,2023-12-10 00:09:55.290,3
1182444548601679872,equipment,2023-12-10 00:09:55.290,3
1182444548601679872,equipment,2023-12-10 00:09:55.290,3
1182444548601679872,equipment,2023-12-10 00:09:55.290,3
1182585208352808960,Game_Level_enter,2023-12-12 05:51:50.992,1
1182585208352808960,equipment,2023-12-12 05:50:39.500,2
1182585208352808960,equipment,2023-12-12 05:50:39.499,3
1182659442349449216,equipment,2023-12-12 00:08:07.288,1
1182659442349449216,Game_Level_enter,2023-12-12 00:03:01.801,2
1182659442349449216,equipment,2023-12-12 00:02:24.315,3
1182769322456526848,draw_card,2023-12-10 19:37:41.083,1
1182769322456526848,equipment,2023-12-10 19:37:40.967,2
1182769322456526848,draw_card,2023-12-10 19:37:39.179,3
